source_pair_id,char_id,target_char,candidate_instance_id,reference_instance_id,human_mean,parsed_asds_score,direct_ink_asds_score,direct_minus_parsed,direct_polar_js_similarity,direct_grid_js_similarity,direct_projection_js_similarity,direct_selected_scale,direct_selected_rotation_degrees,direct_selected_translation_x,direct_selected_translation_y,direct_alignment_ink_iou
NAT-17-bd52e4315cdb,17,的,17/10,17/5,3.0,59.84270714567646,58.30711059496356,-1.5355965507128957,0.5754654466045337,0.6468624667316174,0.5547728221114633,1.0,3.0,16.0,8.0,0.0931136062844213
NAT-18-3cb9fa0ae506,18,事,18/20,18/13,3.6666666666666665,77.26664848249351,76.59783137251814,-0.6688171099753646,0.7623340823971082,0.847725908941753,0.7012371313729522,0.9,1.0,3.0,-3.0,0.26576074849632436
NAT-18-71d298d3b1ea,18,事,18/16,18/4,3.0,81.67954347740425,81.65011224868091,-0.029431228723339586,0.8201313137230175,0.8711727979348218,0.7448885546031585,1.2,-3.0,3.0,-18.0,0.37842998278680223
NAT-18-925902827997,18,事,18/19,18/15,1.6666666666666667,80.94440025510553,80.90376557332627,-0.04063468177926666,0.8018887074926783,0.8783705268350308,0.7730665430875558,1.15,2.0,13.0,51.0,0.38800193517174647
NAT-18-a8c4efc6a5ce,18,事,18/3,18/6,3.3333333333333335,83.12943175318604,82.78523105816166,-0.34420069502438366,0.8039100635495049,0.942175433317606,0.8252596739954821,0.8,-3.0,-17.0,-40.0,0.5063581405044819
NAT-19-acb21602a3a8,19,餐,19/20,19/4,2.6666666666666665,75.54966782625245,75.54965561965521,-1.2206597233443972e-05,0.7469936292534649,0.7890210918004189,0.7616523463270924,0.9,3.0,40.0,12.0,0.215329300308184
NAT-19-b5d108ce03e3,19,餐,19/9,19/2,4.0,78.29541611290257,77.99513477157365,-0.30028134132892603,0.7480542320278053,0.8901505257077635,0.8186053762673887,1.05,-2.0,13.0,-3.0,0.3710381566297341
NAT-19-bb01655af35f,19,餐,19/19,19/13,2.0,71.68867023118797,71.37668151058233,-0.3119887206056404,0.7230903762233152,0.7349355971108489,0.6490880812191695,0.95,0.0,57.0,39.0,0.253541289933695
NAT-19-e3e059976d83,19,餐,19/3,19/16,2.3333333333333335,70.29290699299916,69.76148594737242,-0.5314210456267432,0.6663055867434224,0.8035076547791897,0.737832003576334,0.8,0.0,-16.0,-2.0,0.2952323957709954
NAT-20-4f8f12f0f547,20,卢,20/1,20/6,1.6666666666666667,58.33948626832838,58.35182084184722,0.012334573518842262,0.5393788154609165,0.7525995700774869,0.6204206805613847,1.2,-3.0,-42.0,-14.0,0.08691145987562926
